Cycle#,Sensor_11,Sensor_9,Sensor_12,Sensor_4
122,47.23,9051.03,521.96,1405.27
123,47.21,9056.3,522.14,1403.23
124,47.06,9053.57,522.64,1399.26
125,47.31,9060.56,522.23,1397.94
126,47.28,9057.08,521.95,1403.41
127,47.21,9056.25,522.2,1400.81
128,47.2,9054.43,522.36,1397.34
129,47.23,9052.79,522.19,1400.25
130,47.26,9060.71,522.4,1409.98
131,47.36,9055.73,522.37,1394.26
132,47.12,9059.84,522.25,1398.78
133,47.18,9060.79,521.71,1393.87
134,47.17,9061.2,521.95,1406.2
135,47.34,9051.53,522.13,1404.56
136,47.09,9056.59,521.86,1402.67
137,47.39,9057.59,522.21,1406.79
138,47.16,9063.57,521.73,1398.95
139,47.3,9057.55,522.61,1400.87
140,47.32,9051.91,522.49,1403.14
141,47.43,9057.75,522.5,1403.25
142,47.3,9060.33,522.18,1401.27
143,47.3,9057.74,521.73,1400.49
144,47.32,9060.12,522.11,1401.21
145,47.33,9059.1,521.93,1403.53
146,47.3,9051.0,522.0,1405.09
147,47.48,9055.27,521.91,1394.58
148,47.31,9055.59,522.57,1398.3
149,47.31,9057.81,521.87,1404.41
150,47.15,9056.95,522.22,1393.74
151,47.33,9055.31,522.28,1398.31
152,47.25,9052.6,522.06,1400.9
153,47.29,9058.68,521.82,1397.52
154,47.23,9055.03,522.21,1413.28
155,47.23,9054.82,521.91,1397.45
156,47.31,9057.22,522.14,1399.13
157,47.45,9065.16,522.25,1400.63
158,47.45,9057.68,522.32,1404.68
159,47.26,9058.8,522.2,1399.71
160,47.46,9059.7,521.96,1409.72
161,47.19,9057.22,521.96,1396.32
162,47.42,9062.65,522.09,1401.23
163,47.29,9059.47,521.55,1396.2
164,47.32,9055.65,521.74,1405.5
165,47.39,9060.97,522.28,1402.96
166,47.43,9060.46,521.96,1394.26
167,47.39,9056.24,522.11,1395.35
168,47.3,9055.88,521.89,1404.01
169,47.33,9059.37,521.77,1406.06
170,47.35,9065.67,522.36,1405.93
171,47.34,9060.51,521.89,1410.34
172,47.25,9055.7,521.42,1398.26
173,47.27,9058.55,521.4,1403.22
174,47.31,9066.4,521.85,1403.24
175,47.45,9067.91,522.2,1398.37
176,47.22,9058.59,521.54,1405.47
177,47.42,9057.99,521.95,1400.31
178,47.56,9056.85,521.97,1404.39
179,47.37,9060.98,522.48,1399.3
180,47.52,9058.3,521.76,1402.27
181,47.27,9057.86,522.19,1399.24
182,47.52,9069.4,522.39,1406.61
183,47.24,9064.12,521.84,1406.15
184,47.47,9067.28,521.86,1408.13
185,47.23,9059.27,522.22,1407.11
186,47.47,9063.38,521.82,1404.35
187,47.51,9060.97,521.09,1407.54
188,47.37,9062.7,522.34,1402.72
189,47.42,9069.79,521.7,1403.09
190,47.2,9059.23,521.73,1405.73
191,47.4,9064.99,521.92,1407.64
192,47.49,9071.88,521.7,1404.07
193,47.3,9063.55,521.16,1399.59
194,47.69,9065.99,522.17,1404.64
195,47.32,9060.17,521.92,1410.18
196,47.43,9054.2,522.02,1408.59
197,47.36,9061.28,521.47,1403.29
198,47.14,9059.21,521.5,1402.91
199,47.49,9061.54,521.22,1409.39
200,47.44,9065.78,521.69,1406.28
201,47.44,9062.65,521.88,1400.92
202,47.45,9070.71,522.01,1408.72
203,47.58,9070.42,521.41,1410.33
204,47.43,9064.87,521.33,1404.01
205,47.42,9065.07,521.48,1409.11
206,47.24,9059.13,521.37,1411.14
207,47.39,9067.79,521.55,1402.94
208,47.51,9061.96,521.64,1407.93
209,47.43,9065.23,520.72,1409.2
210,47.51,9064.68,521.77,1396.99
211,47.48,9066.43,521.67,1409.23
212,47.51,9068.2,521.74,1406.43
213,47.56,9066.07,521.65,1407.38
214,47.49,9062.68,521.81,1402.21
215,47.57,9071.14,521.02,1411.63
216,47.53,9063.95,522.19,1408.68
217,47.51,9061.1,521.29,1407.97
218,47.56,9070.12,521.7,1412.7
219,47.71,9074.41,521.74,1412.91
220,47.54,9068.44,520.77,1406.68
221,47.47,9072.45,521.46,1408.21
222,47.52,9068.24,521.46,1411.66
223,47.62,9068.95,520.84,1406.28
224,47.74,9070.23,521.16,1414.63
225,47.67,9069.7,521.33,1409.87
226,47.46,9063.54,521.59,1408.9
227,47.66,9070.71,521.28,1410.4
228,47.46,9069.67,521.18,1406.88
229,47.65,9071.15,521.66,1407.69
230,47.69,9077.18,520.94,1412.71
231,47.64,9071.48,521.73,1404.68
232,47.56,9070.67,520.9,1411.66
233,47.66,9070.71,521.63,1413.34
234,47.58,9070.14,521.42,1412.07
235,47.85,9073.86,521.66,1406.42
236,47.63,9068.9,521.17,1410.66
237,47.65,9069.61,520.7,1419.76
238,47.52,9072.97,521.34,1413.73
239,47.83,9072.08,520.66,1417.49
240,47.66,9077.79,521.18,1406.54
241,47.7,9075.94,521.1,1418.33
242,47.54,9078.67,521.6,1408.71
243,47.55,9078.11,521.05,1411.41
244,47.71,9072.86,520.6,1413.04
245,47.75,9081.05,521.03,1418.05
246,47.72,9075.07,521.27,1420.2
247,47.7,9074.98,520.61,1413.56
248,47.75,9088.08,520.49,1417.22
249,47.66,9076.61,520.7,1419.19
250,47.79,9076.4,520.37,1415.35
251,47.92,9077.39,520.99,1418.61
252,47.7,9077.59,519.98,1422.69
253,47.69,9084.1,520.7,1416.12
254,47.95,9084.75,520.83,1423.55
255,47.67,9082.41,520.85,1412.73
256,47.77,9083.63,520.67,1421.46
257,48.02,9086.82,520.95,1426.94
258,47.66,9082.16,520.79,1421.07
259,47.91,9088.69,520.52,1416.63
260,47.94,9078.61,520.54,1419.41
261,48.03,9086.97,519.98,1419.92
262,47.82,9079.59,520.68,1418.2
263,47.91,9079.99,521.04,1422.82
264,48.07,9086.82,520.47,1424.48
265,47.66,9085.7,520.27,1420.27
266,47.84,9083.55,520.52,1422.54
267,47.8,9091.67,520.2,1422.12
268,47.96,9085.07,520.93,1419.61
269,48.09,9086.7,519.74,1419.23
270,48.04,9083.41,520.35,1424.27
271,48.14,9088.84,519.97,1425.06
272,47.96,9085.04,520.56,1426.7
273,47.88,9094.09,519.72,1418.55
274,48.07,9089.3,519.73,1427.83
275,48.02,9094.94,520.0,1421.8
276,47.98,9087.19,520.09,1429.66
277,48.03,9092.92,519.93,1424.78
278,47.99,9096.47,519.72,1423.67
279,48.13,9096.6,519.66,1426.95
280,48.12,9101.42,519.91,1422.89
281,48.17,9089.18,519.48,1424.36
282,48.27,9092.2,520.05,1426.87
283,48.21,9084.13,520.07,1429.67
284,48.18,9089.87,519.95,1430.04
285,48.27,9098.67,519.91,1431.17
286,48.14,9102.01,519.51,1429.57
287,48.12,9109.36,519.81,1430.84
1,47.14,9056.95,522.24,1398.13
2,47.35,9059.67,522.03,1398.62
3,46.94,9050.43,522.16,1401.1
4,47.44,9060.43,522.31,1395.76
5,47.16,9054.36,522.0,1394.05
6,47.12,9048.62,522.58,1397.98
7,47.26,9051.91,522.08,1405.76
8,47.13,9059.59,521.87,1401.86
9,47.16,9060.04,522.47,1398.3
10,47.22,9053.42,522.4,1400.07
11,47.4,9051.86,522.02,1400.59
12,47.17,9049.23,522.07,1404.93
13,47.25,9057.09,522.26,1403.52
14,47.27,9056.59,521.69,1396.35
15,47.15,9058.29,522.0,1398.77
16,47.26,9051.12,522.25,1392.15
17,47.35,9051.79,522.37,1395.76
18,47.38,9055.82,521.8,1402.3
19,47.23,9051.22,522.18,1402.82
20,47.1,9047.08,522.29,1394.57
21,47.27,9052.89,522.67,1398.83
22,47.3,9060.66,522.53,1405.28
23,47.12,9058.17,522.22,1395.59
24,47.26,9047.82,521.66,1395.73
25,47.17,9055.08,522.15,1390.93
26,47.28,9047.81,521.93,1401.63
27,47.17,9058.62,521.69,1400.85
28,47.22,9054.91,522.27,1400.68
29,47.24,9056.29,522.15,1396.05
30,47.23,9051.75,522.35,1398.1
31,47.33,9056.38,521.92,1393.95
32,47.3,9052.73,522.11,1400.58
33,47.31,9055.13,522.1,1403.93
34,47.2,9058.0,522.34,1397.47
35,47.26,9058.14,522.19,1396.92
36,47.33,9059.15,522.77,1399.12
37,47.17,9055.79,522.14,1396.65
38,47.44,9062.07,521.81,1401.83
39,47.1,9056.99,522.0,1400.8
40,47.09,9056.52,521.84,1403.24
41,47.32,9060.55,522.69,1394.92
42,47.31,9058.97,522.02,1404.49
43,47.35,9061.97,521.7,1401.51
44,47.17,9060.44,522.47,1395.48
45,47.06,9055.97,522.17,1398.33
46,47.38,9067.35,521.88,1401.55
47,47.29,9055.04,522.2,1395.3
48,47.32,9054.47,521.88,1392.94
49,47.33,9051.92,522.28,1396.11
50,47.27,9056.79,522.07,1402.64
51,47.14,9054.5,522.18,1401.05
52,47.36,9061.17,522.73,1404.99
53,47.21,9065.15,522.54,1399.78
54,47.45,9054.67,522.19,1407.04
55,47.22,9058.13,522.09,1399.08
56,47.14,9057.83,522.08,1403.97
57,47.28,9058.76,522.06,1398.55
58,47.35,9055.97,521.85,1403.99
59,47.22,9056.23,522.85,1397.56
60,47.47,9051.65,522.23,1405.66
61,47.26,9063.57,521.8,1392.35
62,47.28,9058.94,522.16,1403.57
63,47.27,9052.2,522.27,1398.98
64,47.24,9061.33,522.24,1404.68
65,47.29,9057.61,522.25,1400.69
66,47.31,9059.8,522.15,1397.9
67,47.29,9060.7,521.81,1403.87
68,47.31,9056.56,522.14,1400.37
69,47.24,9061.76,521.69,1404.2
70,47.44,9067.14,521.88,1397.09
71,47.43,9063.98,522.0,1401.19
72,47.48,9052.95,521.66,1389.86
73,47.23,9062.66,523.18,1400.06
74,47.14,9060.23,521.78,1405.76
75,47.25,9059.09,522.24,1406.98
76,47.35,9062.69,522.25,1405.34
77,47.16,9069.75,522.52,1405.99
78,47.38,9064.15,521.57,1400.53
79,47.28,9063.54,522.72,1403.49
80,47.34,9062.23,521.97,1405.37
81,47.46,9056.0,521.34,1402.65
82,47.22,9071.16,522.16,1400.4
83,47.51,9062.92,522.02,1398.73
84,47.51,9062.78,522.19,1400.62
85,47.25,9067.15,521.84,1414.11
86,47.37,9067.61,522.19,1401.01
87,47.32,9063.48,522.1,1402.17
88,47.33,9067.17,521.9,1400.09
89,47.39,9066.64,521.93,1404.14
90,47.4,9068.61,521.92,1406.26
91,47.38,9058.01,521.83,1399.5
92,47.39,9066.58,521.96,1400.27
93,47.43,9070.02,521.6,1409.21
94,47.48,9069.01,521.94,1401.08
95,47.32,9063.16,521.79,1406.13
96,47.31,9065.97,521.48,1400.62
97,47.41,9066.74,522.71,1408.05
98,47.35,9066.24,521.93,1403.62
99,47.37,9067.95,522.06,1398.72
100,47.3,9071.46,522.01,1404.16
101,47.42,9067.93,522.6,1405.55
102,47.39,9068.94,521.95,1408.84
103,47.48,9075.57,522.05,1395.4
104,47.44,9070.59,521.66,1403.37
105,47.32,9062.39,521.73,1397.73
106,47.32,9074.76,522.11,1405.62
107,47.45,9071.53,521.79,1410.67
108,47.25,9068.9,521.48,1405.94
109,47.32,9073.77,521.59,1402.77
110,47.41,9075.03,521.46,1403.14
111,47.41,9070.35,522.09,1401.73
112,47.41,9067.74,521.35,1400.61
113,47.41,9071.48,522.28,1408.52
114,47.18,9076.18,521.68,1407.81
115,47.53,9076.34,521.6,1400.56
116,47.36,9068.22,521.91,1407.84
117,47.48,9086.93,521.74,1402.28
118,47.44,9076.02,522.37,1408.53
119,47.53,9075.77,521.72,1398.22
120,47.35,9075.42,521.47,1408.79
121,47.48,9082.5,521.77,1413.79
122,47.43,9084.14,521.94,1406.06
123,47.56,9079.55,522.27,1408.04
124,47.31,9083.78,521.32,1405.29
125,47.34,9081.3,521.86,1405.04
126,47.41,9076.07,521.56,1409.96
127,47.54,9088.03,521.42,1395.95
128,47.55,9084.04,522.15,1409.32
129,47.33,9091.26,522.43,1405.91
130,47.53,9089.67,521.55,1410.11
131,47.44,9085.91,521.22,1406.13
132,47.57,9095.25,521.22,1408.51
133,47.47,9089.42,521.44,1409.48
134,47.64,9091.09,521.6,1406.61
135,47.54,9089.64,521.63,1407.5
136,47.6,9097.15,521.37,1405.41
137,47.33,9097.8,521.66,1409.77
138,47.52,9097.97,521.91,1407.3
139,47.53,9089.36,521.71,1415.14
140,47.39,9089.2,521.33,1414.46
141,47.66,9098.7,521.7,1412.02
142,47.69,9098.87,521.23,1413.05
143,47.56,9101.3,521.36,1402.45
144,47.49,9101.55,521.33,1416.18
145,47.47,9105.53,521.27,1403.51
146,47.43,9109.59,521.16,1413.64
147,47.62,9109.19,521.37,1411.55
148,47.5,9112.94,521.1,1421.05
149,47.64,9113.8,521.18,1414.51
150,47.78,9108.76,521.77,1407.58
151,47.61,9117.82,521.26,1420.87
152,47.66,9116.1,520.99,1411.65
153,47.63,9114.32,521.06,1416.95
154,47.63,9123.01,521.48,1414.53
155,47.69,9130.48,521.28,1413.92
156,47.67,9121.93,521.1,1411.91
157,47.82,9126.88,521.11,1414.01
158,47.74,9134.44,521.26,1421.83
159,47.72,9127.25,521.08,1415.2
160,47.76,9131.44,521.16,1415.88
161,47.68,9146.21,520.48,1416.4
162,47.89,9134.86,521.51,1420.33
163,47.58,9142.78,521.34,1422.22
164,47.81,9143.64,520.78,1416.56
165,47.97,9150.46,521.1,1416.31
166,47.79,9153.66,520.98,1419.27
167,47.97,9149.93,520.47,1415.96
168,47.93,9154.65,520.75,1422.59
169,47.9,9157.05,520.19,1424.39
170,48.14,9159.3,520.62,1428.52
171,47.91,9170.51,520.75,1419.33
172,47.64,9168.78,520.25,1426.38
173,48.16,9174.85,520.7,1417.29
174,47.84,9179.87,520.02,1424.79
175,48.12,9172.76,520.34,1424.17
176,47.98,9185.88,520.91,1438.51
177,48.1,9191.53,520.19,1423.5
178,48.38,9193.98,520.14,1430.55
179,48.09,9197.52,519.53,1428.23
1,47.29,9051.1,521.94,1402.85
2,47.35,9048.41,521.7,1410.36
3,47.4,9052.57,521.35,1398.65
4,47.39,9047.7,522.0,1400.32
5,47.26,9046.98,521.35,1399.42
6,47.18,9048.78,521.9,1407.78
7,47.45,9053.53,521.96,1404.44
8,47.24,9048.79,521.77,1406.22
9,47.43,9051.3,522.23,1403.51
10,47.5,9050.49,521.54,1400.12
11,47.31,9049.29,522.35,1395.79
12,47.35,9053.08,521.77,1403.67
13,47.29,9053.94,521.78,1395.23
14,47.49,9045.65,521.91,1407.62
15,47.35,9050.65,521.98,1401.13
16,47.3,9049.49,521.66,1409.84
17,47.39,9050.63,522.35,1406.43
18,47.52,9047.81,521.96,1403.75
19,47.28,9051.51,521.95,1406.34
20,47.26,9047.8,521.62,1401.19
21,47.33,9056.58,521.5,1398.49
22,47.7,9047.38,521.78,1405.05
23,47.44,9049.85,521.97,1401.8
24,47.46,9056.76,522.11,1400.24
25,47.52,9052.67,521.87,1399.14
26,47.21,9049.02,521.71,1399.54
27,47.37,9056.66,522.37,1402.27
28,47.61,9049.03,521.72,1400.85
29,47.42,9049.24,521.56,1401.61
30,47.57,9055.69,521.68,1403.21
31,47.4,9051.85,521.84,1400.49
32,47.3,9047.22,521.76,1406.42
33,47.34,9052.54,521.7,1405.72
34,47.5,9051.75,521.65,1396.73
35,47.38,9054.05,521.49,1398.89
36,47.32,9050.82,522.12,1406.77
37,47.28,9050.21,521.23,1411.83
38,47.36,9051.77,521.87,1400.63
